qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
64,"לפעמים אני מרגישה אבודה.","Negative",5,-2
65,"אני חסרת תועלת.","Negative",3,-3
66,"אני חסרת משמעות.","Negative",4,-3
67,"נמאס לי מהכל.","Negative",5,-2
68,"אני יושבת כרגע.","Neutral",5,0
69,"אני נועלת נעליים.","Neutral",1,1
70,"אני נושמת.","Neutral",5,0
71,"אני בתוך בניין.","Neutral",1,0
72,"איפה שמתי את המפתחות?","Neutral",1,0
73,"אני יושבת מול מחשב.","Neutral",1,0
74,"אני מבינה עברית.","Neutral",1,0
75,"איפה החניתי את האוטו?","Neutral",2,0
76,"אני רוצה לקרוא ספר.","Neutral",1,0
77,"אני לומדת משהו חדש כל יום.","Neutral",2,3
78,"בא לי לשתות קפה.","Neutral",5,0
79,"אני תושבת ישראל.","Neutral",2,0
80,"יש לי תוכניות למחר.","Neutral",2,3
81,"אני רוצה לצאת לאימון.","Neutral",2,3
82,"אני משתתפת בניסוי.","Neutral",3,0
83,"הלילה אלך לישון מוקדם.","Neutral",4,1
84,"אני מצחצחת שיניים כל בוקר.","Neutral",5,0
85,"אני רוצה להסתפר.","Neutral",3,0
86,"מה יש לי לעשות היום?","Neutral",2,0
87,"הערב אני בבית.","Neutral",5,0
88,"שתיתי משהו חם הבוקר.","Neutral",1,0
89,"אני בחדר שקט.","Neutral",4,0
90,"אני צריכה לעשות קניות.","Neutral",4,0
91,"שתיתי מספיק מים היום?","Neutral",3,1
92,"מה אני אלבש היום?","Neutral",3,0
93,"מה בא לי לאכול?","Neutral",3,0
94,"אני הרבה בנסיעות.","Neutral",1,0
95,"יש לי פגישה בקרוב.","Neutral",1,1
96,"מה אעשה הערב?","Neutral",1,0
97,"אני צריכה לעשות כביסה.","Neutral",4,0
98,"אני צריכה לעשות טלפון.","Neutral",3,0
99,"אני צריכה לשלוח הודעה.","Neutral",4,0
100,"אני צריכה לבדוק את המייל.","Neutral",2,0
101,"יש לי מטען לפלאפון.","Neutral",1,0
102,"אני צריכה לארגן את הלו\"ז.","Neutral",1,0
103,"אני רוצה לנקות את הבית.","Neutral",3,2
104,"מחר אקום מוקדם.","Neutral",1,2
105,"בסופ\"ש אפשר לנוח.","Neutral",5,0
106,"אני עובדת במשך השבוע.","Neutral",1,2
107,"בא לי לצאת להליכה.","Neutral",1,0
108,"אני משתמשת באוזניות.","Neutral",4,0
109,"יש לי התראה בפלאפון.","Neutral",2,0
110,"אני רוצה לראות סרט.","Neutral",3,2
