qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
41,"למה יש לי בעיות שאין לאחרים?","Negative",2,-2
42,"אני מרגיש עצוב.","Negative",2,-2
43,"אני שונא את החיים שלי.","Negative",1,-3
44,"אין לי כח לעשות דבר.","Negative",3,-2
45,"למה אני כזה מתוסבך?","Negative",1,-3
46,"אני כל הזמן עסוק ברגשות שלי.","Negative",1,-1
47,"אני כל כך כועס על עצמי.","Negative",2,-2
48,"העתיד שלי חסר תקווה.","Negative",1,-3
49,"אני משועמם מכל דבר.","Negative",1,-3
50,"אני מרגיש אשם כל הזמן.","Negative",1,-2
51,"אני מרגיש שאני מוענש.","Negative",1,-2
52,"הרבה דברים מבאסים אותי.","Negative",2,-2
53,"אני מאשים את עצמי על כל דבר רע שקורה.","Negative",1,-3
54,"הייתי הורג את עצמי אם יכולתי.","Negative",1,-3
55,"אני כל הזמן בוכה.","Negative",1,-2
56,"אני עצבני כל הזמן.","Negative",2,-2
57,"איבדתי עניין באנשים.","Negative",2,-2
58,"אני לא מצליח לקבל החלטות.","Negative",2,-2
59,"אני חושב שאני מכוער.","Negative",3,-2
60,"אני לא מסוגל לעבוד יותר.","Negative",4,-1
61,"איבדתי עניין בסקס.","Negative",2,-2
62,"אני מאכזב את כולם.","Negative",2,-3
63,"קשה לי עם אינטימיות.","Negative",1,-2
64,"לפעמים אני מרגיש אבוד.","Negative",2,-2
65,"אני חסר תועלת.","Negative",1,-3
66,"אני חסר משמעות.","Negative",2,-3
67,"נמאס לי מהכל.","Negative",3,-3
68,"אני יושב כרגע.","Neutral",2,0
69,"אני נועל נעליים.","Neutral",1,0
70,"אני נושם.","Neutral",1,0
71,"אני בתוך בניין.","Neutral",2,0
72,"איפה שמתי את המפתחות?","Neutral",2,0
73,"אני יושב מול מחשב.","Neutral",2,1
74,"אני מבין עברית.","Neutral",1,0
75,"איפה החניתי את האוטו?","Neutral",2,0
76,"אני רוצה לקרוא ספר.","Neutral",2,1
77,"אני לומד משהו חדש כל יום.","Neutral",3,3
78,"בא לי לשתות קפה.","Neutral",3,0
79,"אני תושב ישראל.","Neutral",1,0
80,"יש לי תוכניות למחר.","Neutral",4,2
81,"אני רוצה לצאת לאימון.","Neutral",4,2
82,"אני משתתף בניסוי.","Neutral",2,1
83,"הלילה אלך לישון מוקדם.","Neutral",2,0
84,"אני מצחצח שיניים כל בוקר.","Neutral",1,0
85,"אני רוצה להסתפר.","Neutral",2,0
86,"מה יש לי לעשות היום?","Neutral",4,0
87,"הערב אני בבית.","Neutral",3,0
88,"שתיתי משהו חם הבוקר.","Neutral",2,0
89,"אני בחדר שקט.","Neutral",1,1
90,"אני צריך לעשות קניות.","Neutral",3,0
91,"שתיתי מספיק מים היום?","Neutral",3,0
92,"מה אני אלבש היום?","Neutral",2,0
93,"מה בא לי לאכול?","Neutral",3,1
94,"אני הרבה בנסיעות.","Neutral",1,-1
95,"יש לי פגישה בקרוב.","Neutral",4,-1
96,"מה אעשה הערב?","Neutral",4,1
97,"אני צריך לעשות כביסה.","Neutral",2,0
98,"אני צריך לעשות טלפון.","Neutral",3,0
99,"אני צריך לשלוח הודעה.","Neutral",3,-1
100,"אני צריך לבדוק את המייל.","Neutral",3,0
101,"יש לי מטען לפלאפון.","Neutral",1,0
102,"אני צריך לארגן את הלו\"ז.","Neutral",2,-1
103,"אני רוצה לנקות את הבית.","Neutral",2,2
104,"מחר אקום מוקדם.","Neutral",4,2
105,"בסופ\"ש אפשר לנוח.","Neutral",3,1
106,"אני עובד במשך השבוע.","Neutral",3,0
107,"בא לי לצאת להליכה.","Neutral",3,1
108,"אני משתמש באוזניות.","Neutral",2,0
109,"יש לי התראה בפלאפון.","Neutral",3,0
110,"אני רוצה לראות סרט.","Neutral",2,2
