qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
51,"אני מרגישה שאני מוענשת.","Negative",1,-3
52,"הרבה דברים מבאסים אותי.","Negative",2,-2
53,"אני מאשימה את עצמי על כל דבר רע שקורה.","Negative",4,-3
54,"הייתי הורגת את עצמי אם יכולתי.","Negative",2,-3
55,"אני כל הזמן בוכה.","Negative",1,-2
56,"אני עצבנית כל הזמן.","Negative",2,-2
57,"איבדתי עניין באנשים.","Negative",2,-3
58,"אני לא מצליחה לקבל החלטות.","Negative",2,-1
59,"אני חושבת שאני מכוערת.","Negative",4,-3
60,"אני לא מסוגלת לעבוד יותר.","Negative",2,-2
61,"איבדתי עניין בסקס.","Negative",3,-2
62,"אני מאכזבת את כולם.","Negative",2,-3
63,"קשה לי עם אינטימיות.","Negative",3,-2
64,"לפעמים אני מרגישה אבודה.","Negative",2,-2
65,"אני חסרת תועלת.","Negative",1,-3
66,"אני חסרת משמעות.","Negative",2,-3
67,"נמאס לי מהכל.","Negative",2,-2
68,"אני יושבת כרגע.","Neutral",1,0
69,"אני נועלת נעליים.","Neutral",1,1
70,"אני נושמת.","Neutral",2,2
71,"אני בתוך בניין.","Neutral",1,-1
72,"איפה שמתי את המפתחות?","Neutral",2,0
73,"אני יושבת מול מחשב.","Neutral",1,0
74,"אני מבינה עברית.","Neutral",1,0
75,"איפה החניתי את האוטו?","Neutral",1,-1
76,"אני רוצה לקרוא ספר.","Neutral",2,2
77,"אני לומדת משהו חדש כל יום.","Neutral",2,2
78,"בא לי לשתות קפה.","Neutral",3,-1
79,"אני תושבת ישראל.","Neutral",1,0
80,"יש לי תוכניות למחר.","Neutral",3,1
81,"אני רוצה לצאת לאימון.","Neutral",3,2
82,"אני משתתפת בניסוי.","Neutral",2,1
83,"הלילה אלך לישון מוקדם.","Neutral",3,0
84,"אני מצחצחת שיניים כל בוקר.","Neutral",1,1
85,"אני רוצה להסתפר.","Neutral",2,1
86,"מה יש לי לעשות היום?","Neutral",4,1
87,"הערב אני בבית.","Neutral",2,1
88,"שתיתי משהו חם הבוקר.","Neutral",1,1
89,"אני בחדר שקט.","Neutral",1,1
90,"אני צריכה לעשות קניות.","Neutral",1,0
91,"שתיתי מספיק מים היום?","Neutral",3,1
92,"מה אני אלבש היום?","Neutral",3,1
93,"מה בא לי לאכול?","Neutral",2,0
94,"אני הרבה בנסיעות.","Neutral",1,0
95,"יש לי פגישה בקרוב.","Neutral",2,2
96,"מה אעשה הערב?","Neutral",2,1
97,"אני צריכה לעשות כביסה.","Neutral",2,1
98,"אני צריכה לעשות טלפון.","Neutral",3,-2
99,"אני צריכה לשלוח הודעה.","Neutral",2,-1
100,"אני צריכה לבדוק את המייל.","Neutral",2,0
101,"יש לי מטען לפלאפון.","Neutral",1,1
102,"אני צריכה לארגן את הלו\"ז.","Neutral",3,1
103,"אני רוצה לנקות את הבית.","Neutral",3,0
104,"מחר אקום מוקדם.","Neutral",3,1
105,"בסופ\"ש אפשר לנוח.","Neutral",2,2
106,"אני עובדת במשך השבוע.","Neutral",2,-1
107,"בא לי לצאת להליכה.","Neutral",2,1
108,"אני משתמשת באוזניות.","Neutral",1,-1
109,"יש לי התראה בפלאפון.","Neutral",2,0
110,"אני רוצה לראות סרט.","Neutral",2,1
