qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
98,"אני צריך לעשות טלפון.","Neutral",4,-1
99,"אני צריך לשלוח הודעה.","Neutral",4,0
100,"אני צריך לבדוק את המייל.","Neutral",4,-1
101,"יש לי מטען לפלאפון.","Neutral",1,0
102,"אני צריך לארגן את הלו\"ז.","Neutral",4,1
103,"אני רוצה לנקות את הבית.","Neutral",3,-2
104,"מחר אקום מוקדם.","Neutral",3,2
105,"בסופ\"ש אפשר לנוח.","Neutral",2,-1
106,"אני עובד במשך השבוע.","Neutral",3,-1
107,"בא לי לצאת להליכה.","Neutral",3,2
108,"אני משתמש באוזניות.","Neutral",1,0
109,"יש לי התראה בפלאפון.","Neutral",4,0
110,"אני רוצה לראות סרט.","Neutral",2,2
