qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
51,"אני מרגישה שאני מוענשת.","Negative",1,-3
52,"הרבה דברים מבאסים אותי.","Negative",5,-3
53,"אני מאשימה את עצמי על כל דבר רע שקורה.","Negative",3,-3
54,"לחיים שלי אין שום כיוון.","Negative",2,-3
55,"אני כל הזמן בוכה.","Negative",5,-3
56,"אני עצבנית כל הזמן.","Negative",3,-3
57,"איבדתי עניין באנשים.","Negative",3,-3
58,"אני לא מצליחה לקבל החלטות.","Negative",1,-2
59,"אני חושבת שאני מכוערת.","Negative",4,-3
60,"אני לא מסוגלת לעבוד יותר.","Negative",4,-3
61,"איבדתי עניין בסקס.","Negative",1,-3
62,"אני מאכזבת את כולם.","Negative",2,-3
63,"קשה לי עם אינטימיות.","Negative",2,-3
64,"לפעמים אני מרגישה אבודה.","Negative",3,-3
65,"אני חסרת תועלת.","Negative",4,-3
66,"אני חסרת משמעות.","Negative",4,-3
67,"נמאס לי מהכל.","Negative",5,-3
68,"אני יושבת כרגע.","Neutral",2,-1
69,"אני נועלת נעליים.","Neutral",2,-1
70,"אני נושמת.","Neutral",1,3
71,"אני בתוך בניין.","Neutral",3,-1
72,"איפה שמתי את המפתחות?","Neutral",4,-2
73,"אני יושבת מול מחשב.","Neutral",4,-3
74,"אני מבינה עברית.","Neutral",1,1
75,"איפה החניתי את האוטו?","Neutral",2,-3
76,"אני רוצה לקרוא ספר.","Neutral",1,0
77,"אני לומדת משהו חדש כל יום.","Neutral",2,3
78,"בא לי לשתות קפה.","Neutral",3,1
79,"אני תושבת ישראל.","Neutral",1,0
80,"יש לי תוכניות למחר.","Neutral",4,1
81,"אני רוצה לצאת לאימון.","Neutral",2,1
82,"אני משתתפת בניסוי.","Neutral",2,1
83,"הלילה אלך לישון מוקדם.","Neutral",3,-1
84,"אני מצחצחת שיניים כל בוקר.","Neutral",1,1
85,"אני רוצה להסתפר.","Neutral",4,-1
86,"מה יש לי לעשות היום?","Neutral",1,2
87,"הערב אני בבית.","Neutral",5,-3
88,"שתיתי משהו חם הבוקר.","Neutral",1,1
89,"אני בחדר שקט.","Neutral",3,-2
90,"אני צריכה לעשות קניות.","Neutral",2,1
91,"שתיתי מספיק מים היום?","Neutral",2,-1
92,"מה אני אלבש היום?","Neutral",4,0
93,"מה בא לי לאכול?","Neutral",4,0
94,"אני הרבה בנסיעות.","Neutral",2,-3
95,"יש לי פגישה בקרוב.","Neutral",2,0
96,"מה אעשה הערב?","Neutral",1,3
97,"אני צריכה לעשות כביסה.","Neutral",3,-2
98,"אני צריכה לעשות טלפון.","Neutral",3,0
99,"אני צריכה לשלוח הודעה.","Neutral",3,0
100,"אני צריכה לבדוק את המייל.","Neutral",2,2
101,"יש לי מטען לפלאפון.","Neutral",2,1
102,"אני צריכה לארגן את הלו\"ז.","Neutral",1,-1
103,"אני רוצה לנקות את הבית.","Neutral",4,2
104,"מחר אקום מוקדם.","Neutral",4,-3
105,"בסופ\"ש אפשר לנוח.","Neutral",1,3
106,"אני עובדת במשך השבוע.","Neutral",3,-2
107,"בא לי לצאת להליכה.","Neutral",2,1
108,"אני משתמשת באוזניות.","Neutral",1,0
109,"יש לי התראה בפלאפון.","Neutral",4,2
110,"אני רוצה לראות סרט.","Neutral",3,1
